"Kod kraje";"Nazev kraje";"Zkratka nazvu kraje";"Kod NUTS3 kraje";"Nazev oblasti";
19;"Hlavni mesto Praha";;"CZ010";"Praha";
35;"Jihocesky kraj";;"CZ031";"Jihozapad";
116;"Jihomoravsky kraj";;"CZ064";"Jihovychod";
51;"Karlovarsky kraj";;"CZ041";"Severozapad";
108;"Kraj Vysocina";;"CZ063";"Jihovychod";
86;"Kralovehradecky kraj";;"CZ052";"Severovychod";
78;"Liberecky kraj";;"CZ051";"Severovychod";
132;"Moravskoslezsky kraj";;"CZ080";"Moravskoslezsko";
124;"Olomoucky kraj";;"CZ071";"Stredni Morava";
94;"Pardubicky kraj";;"CZ053";"Severovychod";
43;"Plzensky kraj";;"CZ032";"Jihozapad";
27;"Stredocesky kraj";;"CZ020";"Stredni Cechy";
60;"Ustecky kraj";;"CZ042";"Severozapad";
141;"Zlinsky kraj";;"CZ072";"Stredni Morava";
