"Kod okresu";"Nazev okresu";"Zkratka nazvu okresu";"Kod NUTS4 okresu";"Nazev kraje";
3201;"Benesov";;"CZ0201";"Stredocesky kraj";
3202;"Beroun";;"CZ0202";"Stredocesky kraj";
3701;"Blansko";;"CZ0641";"Jihomoravsky kraj";
3702;"Brno-mesto";;"CZ0642";"Jihomoravsky kraj";
3703;"Brno-venkov";;"CZ0643";"Jihomoravsky kraj";
3801;"Bruntal";;"CZ0801";"Moravskoslezsky kraj";
3704;"Breclav";;"CZ0644";"Jihomoravsky kraj";
3402;"Cheb";;"CZ0411";"Karlovarsky kraj";
3503;"Chomutov";;"CZ0422";"Ustecky kraj";
3603;"Chrudim";;"CZ0531";"Pardubicky kraj";
3501;"Ceska Lipa";;"CZ0511";"Liberecky kraj";
3301;"Ceske Budejovice";;"CZ0311";"Jihocesky kraj";
3302;"Cesky Krumlov";;"CZ0312";"Jihocesky kraj";
3502;"Decin";;"CZ0421";"Ustecky kraj";
3401;"Domazlice";;"CZ0321";"Plzensky kraj";
3802;"Frydek-Mistek";;"CZ0802";"Moravskoslezsky kraj";
3601;"Havlickuv Brod";;"CZ0631";"Kraj Vysocina";
3100;"Hlavni mesto Praha";;"CZ0100";"Hlavni mesto Praha";
3706;"Hodonin";;"CZ0645";"Jihomoravsky kraj";
3602;"Hradec Kralove";;"CZ0521";"Kralovehradecky kraj";
3504;"Jablonec nad Nisou";;"CZ0512";"Liberecky kraj";
3811;"Jesenik";;"CZ0711";"Olomoucky kraj";
3604;"Jicin";;"CZ0522";"Kralovehradecky kraj";
3707;"Jihlava";;"CZ0632";"Kraj Vysocina";
3303;"Jindrichuv Hradec";;"CZ0313";"Jihocesky kraj";
3403;"Karlovy Vary";;"CZ0412";"Karlovarsky kraj";
3803;"Karvina";;"CZ0803";"Moravskoslezsky kraj";
3203;"Kladno";;"CZ0203";"Stredocesky kraj";
3404;"Klatovy";;"CZ0322";"Plzensky kraj";
3204;"Kolin";;"CZ0204";"Stredocesky kraj";
3708;"Kromeriz";;"CZ0721";"Zlinsky kraj";
3205;"Kutna Hora";;"CZ0205";"Stredocesky kraj";
3505;"Liberec";;"CZ0513";"Liberecky kraj";
3506;"Litomerice";;"CZ0423";"Ustecky kraj";
3507;"Louny";;"CZ0424";"Ustecky kraj";
3206;"Melnik";;"CZ0206";"Stredocesky kraj";
3207;"Mlada Boleslav";;"CZ0207";"Stredocesky kraj";
3508;"Most";;"CZ0425";"Ustecky kraj";
3605;"Nachod";;"CZ0523";"Kralovehradecky kraj";
3804;"Novy Jicin";;"CZ0804";"Moravskoslezsky kraj";
3208;"Nymburk";;"CZ0208";"Stredocesky kraj";
3805;"Olomouc";;"CZ0712";"Olomoucky kraj";
3806;"Opava";;"CZ0805";"Moravskoslezsky kraj";
3807;"Ostrava-mesto";;"CZ0806";"Moravskoslezsky kraj";
3606;"Pardubice";;"CZ0532";"Pardubicky kraj";
3304;"Pelhrimov";;"CZ0633";"Kraj Vysocina";
3305;"Pisek";;"CZ0314";"Jihocesky kraj";
3406;"Plzen-jih";;"CZ0324";"Plzensky kraj";
3405;"Plzen-mesto";;"CZ0323";"Plzensky kraj";
3407;"Plzen-sever";;"CZ0325";"Plzensky kraj";
3306;"Prachatice";;"CZ0315";"Jihocesky kraj";
3209;"Praha-vychod";;"CZ0209";"Stredocesky kraj";
3210;"Praha-zapad";;"CZ020A";"Stredocesky kraj";
3709;"Prostejov";;"CZ0713";"Olomoucky kraj";
3808;"Prerov";;"CZ0714";"Olomoucky kraj";
3211;"Pribram";;"CZ020B";"Stredocesky kraj";
3212;"Rakovnik";;"CZ020C";"Stredocesky kraj";
3408;"Rokycany";;"CZ0326";"Plzensky kraj";
3607;"Rychnov nad Kneznou";;"CZ0524";"Kralovehradecky kraj";
3608;"Semily";;"CZ0514";"Liberecky kraj";
3409;"Sokolov";;"CZ0413";"Karlovarsky kraj";
3307;"Strakonice";;"CZ0316";"Jihocesky kraj";
3609;"Svitavy";;"CZ0533";"Pardubicky kraj";
3809;"Sumperk";;"CZ0715";"Olomoucky kraj";
3308;"Tabor";;"CZ0317";"Jihocesky kraj";
3410;"Tachov";;"CZ0327";"Plzensky kraj";
3509;"Teplice";;"CZ0426";"Ustecky kraj";
3610;"Trutnov";;"CZ0525";"Kralovehradecky kraj";
3710;"Trebic";;"CZ0634";"Kraj Vysocina";
3711;"Uherske Hradiste";;"CZ0722";"Zlinsky kraj";
3510;"Usti nad Labem";;"CZ0427";"Ustecky kraj";
3611;"Usti nad Orlici";;"CZ0534";"Pardubicky kraj";
3810;"Vsetin";;"CZ0723";"Zlinsky kraj";
3712;"Vyskov";;"CZ0646";"Jihomoravsky kraj";
3705;"Zlin";;"CZ0724";"Zlinsky kraj";
3713;"Znojmo";;"CZ0647";"Jihomoravsky kraj";
3714;"Zdar nad Sazavou";;"CZ0635";"Kraj Vysocina";
